trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 0.9998000066665778}",20,0,-99.928672874911,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.02, 'e': 0.9992001066609779}",20,0,-60.42852195888225,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.02, 'e': 0.9982005399352042}",25,0,-138.03397898882957,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.02, 'e': 0.9968017063026194}",20,0,-166.30204343315165,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.02, 'e': 0.9950041652780258}",25,0,-146.37511366806675,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.02, 'e': 0.9928086358538663}",30,0,-104.33422275839936,"{0: 17, 1: 5, 2: 5, 3: 3, 4: 0}",0
7,False,"{'a': 0.02, 'e': 0.9902159962126371}",20,0,-169.30404317012975,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.02, 'e': 0.9872272833756269}",20,0,-36.33301127653839,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.02, 'e': 0.9838436927881214}",30,0,-261.7974290530589,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 5}",0
10,False,"{'a': 0.02, 'e': 0.9800665778412416}",30,0,-123.43378030120277,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.02, 'e': 0.9758974493306055}",20,0,-93.41326663765487,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
12,False,"{'a': 0.02, 'e': 0.9713379748520296}",25,0,-60.43788604187076,"{0: 16, 1: 6, 2: 1, 3: 2, 4: 0}",0
13,False,"{'a': 0.02, 'e': 0.9663899781345132}",30,0,-137.51732980021535,"{0: 15, 1: 9, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.02, 'e': 0.9610554383107709}",30,0,-186.53778944096638,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.02, 'e': 0.955336489125606}",20,0,-127.55277458120793,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.02, 'e': 0.9492354180824408}",20,0,-106.67272635676929,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.02, 'e': 0.9427546655283462}",25,0,-77.79636664938576,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.02, 'e': 0.9358968236779348}",20,0,-121.59138676652536,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.02, 'e': 0.9286646355765102}",30,0,-102.729809780303,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",1
20,False,"{'a': 0.02, 'e': 0.9210609940028851}",20,0,-131.5606878782696,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.02, 'e': 0.9130889403123083}",20,0,-114.70715392809456,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
22,False,"{'a': 0.02, 'e': 0.9047516632199634}",20,0,-79.66309451282119,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.02, 'e': 0.8960524975255252}",20,0,-109.07490843694966,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.02, 'e': 0.8869949227792842}",20,0,-44.34954883245894,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.02, 'e': 0.8775825618903728}",35,0,-227.60170057243164,"{0: 22, 1: 0, 2: 7, 3: 3, 4: 3}",0
26,False,"{'a': 0.02, 'e': 0.8678191796776499}",25,0,-235.9402206830712,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 5}",0
27,False,"{'a': 0.02, 'e': 0.8577086813638242}",25,9,-116.38337644019579,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 2}",1
28,False,"{'a': 0.02, 'e': 0.8472551110134161}",25,14,-29.940500648959347,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1
29,False,"{'a': 0.02, 'e': 0.8364626499151869}",25,0,-15.590468338720072,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.02, 'e': 0.8253356149096783}",25,8,-16.63473679747919,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.02, 'e': 0.8138784566625339}",20,0,-124.05079281889843,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
32,False,"{'a': 0.02, 'e': 0.8020957578842927}",20,0,-47.595145794322114,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.02, 'e': 0.7899922314973651}",30,0,-144.60191402728537,"{0: 18, 1: 4, 2: 4, 3: 3, 4: 1}",0
34,False,"{'a': 0.02, 'e': 0.7775727187509279}",20,0,9.202776558739147,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.02, 'e': 0.7648421872844884}",25,0,-110.15479737167892,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
