trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",30,0,-154.3014606214574,"{0: 15, 1: 2, 2: 12, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.25}",25,0,-200.61777078352873,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.125}",25,0,-156.23086626513754,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.0625}",25,0,-160.62203073431755,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.03125}",25,0,-128.88309985306918,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.015625}",30,6,-99.89734411999282,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.0078125}",35,0,-162.68741681193163,"{0: 23, 1: 2, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.00390625}",25,0,-61.66782107347861,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.001953125}",35,0,-91.40056080403565,"{0: 23, 1: 6, 2: 3, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.0009765625}",20,0,-139.6318589006904,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.00048828125}",20,0,-213.61627940437074,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.000244140625}",20,0,-59.316968986919306,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.0001220703125}",20,0,-28.631808921812514,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 6.103515625e-05}",20,0,-33.55688497264161,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 3.0517578125e-05}",30,16,-93.80460741131898,"{0: 9, 1: 0, 2: 1, 3: 3, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.52587890625e-05}",25,0,-223.0211662754712,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 7.62939453125e-06}",20,0,-172.6636339690378,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 3.814697265625e-06}",20,0,-169.749794510507,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.9073486328125e-06}",20,0,-109.51934473519388,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 9.5367431640625e-07}",20,0,-218.74782345913408,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",25,0,-101.16791606094102,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-51.03685060267962,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,-220.37851961061813,"{0: 16, 1: 4, 2: 4, 3: 3, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,0,-177.804780148524,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-128.88713744559394,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,8,-55.34225675969572,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-100.45837917270599,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-187.42433647755638,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",30,0,-166.09670940782541,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-93.32836574262566,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
